tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
961237,tt20851184,Otta,2023-10-27,ml,0.0,7.9,200.0,4293407.0,Resul Pookutty,"Asif Ali, Arjun Ashokan, Sathyaraj, Divya Dutta, Rohini",Drama,148
1361614,tt23857330,Inamdar,2023-10-27,kn,0.0,9.5,32.0,6484232.0,Sandesh Shetty Ajri,"Ranjan Chatrapati, Chirashree Anchan","Action,Drama",152
1196807,tt23846442,Tagaru Palya,2023-10-27,kn,0.0,6.7,373.0,6677762.0,Umesh K. Krupa,"amrutha prem, Rangayana Raghu, Nagabhushana N S, Tara",Drama,130
1219632,tt29453905,Naangal,2023-10-27,ta,0.0,8.4,199.0,9068746.0,Avinash Prakash,"Mithun V, Rithik M, Nithin D, Abdul Rafe, Prarthana Srikaanth","Drama,Family",152
1187054,tt23846874,Sajini Shinde Ka Viral Video,2023-10-27,hi,6.4,6.2,6191.0,5338441.0,Mikhil Musale,"Nimrat Kaur, Radhikka Madan, Subodh Bhave, Bhagyashree, Soham Majumdar","Crime,Mystery,Thriller",116
1301795,tt14861010,ICU,2023-10-27,hi,8.0,5.9,9.0,975677.0,Nikhil Chalam,"Sheeba Chaddha, Aahana Kumra, Rytasha Rathore, Denzil Smith",Unknown,129
1194958,tt29313334,Okkade 1 (Venkanna on Duty),2023-10-27,te,0.0,4.4,10.0,13900134.0,Sripada Ramchandra Rao,"Sudhiksha Jha, Madhumitha, Sunitha Pandey, Tummalapalli Rama Satyanarayana, Junaid Shaik",Crime,129
1196185,tt29454072,Pushtaini,2023-10-28,hi,0.0,8.2,85.0,5290037.0,Vinod Rawat,"Vinod Rawat, Hemant Pandey, Rita Heer, Rajkummar Rao, Nitin Goel","Comedy,Drama",90
1196095,tt9691290,Sharmajee Ki Beti,2023-11-01,hi,5.5,5.9,5199.0,5255957.0,Tahira Kashyap Khurrana,"Saiyami Kher, Sakshi Tanwar, Divya Dutta, Sharib Hashmi, Parvin Dabas","Comedy,Drama",116
1233647,tt22180308,Vivesini,2023-11-01,ta,0.0,5.9,245.0,9094853.0,Unknown,"Nassar, Vanessa Stevenson, Mekha Rajan, Vishal Rajan, Suresh Chakravarthy","Horror,Thriller",134
1264356,tt29468008,"Next, Please",2023-11-02,hi,6.0,6.6,25.0,2052564.0,Rishav Kapoor,"Shreya Dhanwanthary, Jim Sarbh, Shardul Bhardwaj",Unknown,129
994333,tt25376056,Keedaa Cola,2023-11-02,te,6.786,7.3,3569.0,12296933.0,Tharun Bhascker,"Chaitanya Rao, Rag Mayur, Brahmanandam, Tharun Bhascker, Jeevan Kumar","Action,Comedy,Crime",120
1180236,tt28512693,Maa Oori Polimera 2,2023-11-02,te,5.9,7.0,964.0,11291535.0,Anil Viswanath,"Satyam Rajesh, Kamakshi Bhaskarla, Rakendu Mouli, Getup Srinu, Sahiti Dasari",Horror,125
1206176,tt29204485,Aaraariraaro,2023-11-03,kn,0.0,9.4,10.0,6471746.0,SANDEEP KUMAR VERMA,Unknown,"Comedy,Drama",126
1221876,tt15839792,Narakasura,2023-11-03,hi,0.0,6.9,1148.0,5893329.0,Sebastian Noah Acosta Jr.,"Rakshith Atluri, Nassar, Aparna Janardanan, Sangeerthana Vipin, Shatru","Action,Comedy,Family",142
1226342,tt29058970,Krishna Ghattam,2023-11-03,te,0.0,7.3,1165.0,14555640.0,Unknown,"Chaitanya Krishna, Duvvasi Mohan, Maya Nelluri","Drama,Thriller",137
1113470,tt27411198,Garudan,2023-11-03,ml,6.385,7.3,3126.0,2545049.0,Arun Raj Varma,"Suresh Gopi, Biju Menon, Abhirami, Divya Pillai, Jagadish","Crime,Thriller",138
1324017,tt28995089,Kapil Returns,2023-11-03,ta,0.0,9.4,93.0,9008587.0,Srini Soundarajan,"Srini Soundarajan, Saravanan, Riyaz Khan, Vaiyapuri",Sport,112
1052873,tt23804378,Three of Us,2023-11-03,hi,7.5,7.5,5449.0,4330034.0,Avinash Arun,"Shefali Shah, Jaideep Ahlawat, Swanand Kirkire, Kadambari Kadam, Rasika Agashe","Drama,Romance",99
1196317,tt29371859,Lakeerein,2023-11-03,hi,0.0,7.9,27.0,5257120.0,Durgesh Pathak,"Tia Bajpai, Ashutosh Rana, Bidita Bag, Gaurav Chopra, Rajesh Jais",Unknown,124
